Brand,Product_price,Stars,ReviewsCount
NELEBUTO,13.69,4.2,55
EMPSIGN,31.99,4.9,58
MOQIAN,5.99,4.6,42
JESWO,79.99,4.2,39
ANCBD,46.99,,
QEYNIU,98.99,,
Litwaro,32.99,4.6,31
JSYAVG,5.99,5,1
ROTY,7.99,4.5,15
Lonisiv,4.19,3.9,8
Diuyose,9.99,4.9,21
Gogoonike,9.99,4.6,29
Aigemumy,5.99,4.7,23
Shaari,3.99,,
Miwasion,19.99,4.6,64
YANENAN,4.99,4.6,2234
LINKEET,24.99,5,2
TOBENONE,28.79,4.7,88
ARZOPA,25.99,4.1,125
Lacdo,20.99,4.7,23411
Pterosauria,5.59,4.5,283
LUXJA,90.59,4.1,37
Thibault,6.99,4.6,140
VVB,39.99,4.3,2921
Seorsok,30.99,4.6,175
CALCINI,15.98,4.9,179
Imarisha,3.99,4.9,13
JSYAVG,6.99,4.7,8
Imarisha,6.29,4.8,1498
COOLCOOLDE,6.99,4.5,52
Bonitzdm,7.99,4.9,11
OWTEMLKE,194.97,,
LOVEVOOK,39.98,4.8,92
BAGSMART,21.98,4.5,218
NEWHEY,29.99,4.4,106
YOULEY,8.99,,
DWQOO,19.99,4.8,213
LOVEVOOK,32.62,4.7,201
Dell,32,5,1
STOON,22.99,4.7,420
FISYOD,29.99,4.4,358
Baseus,35.99,4.6,60
SINKWER,6.99,4.2,10
Generic,5.99,4.6,27
LOVEVOOK,34.99,4.8,8
BTOOP,22.99,4.5,286
LHST,4.99,4.6,101
EMPSIGN,26.99,4.8,31
Capolo,19.99,5,1
dokikalos,5.99,,
KELOOF,11.99,,
UNGNU,6.99,4.8,6
TOOREEY,5.99,,
EAVIN GARY,6.99,4.6,204
MOSISO,35.99,4.6,419
MOSISO,14.99,4.3,293
bagswan,,,
SBOBUY,,4.7,9
TigerDad,49.99,5,1
FIXITOK,19.99,4.5,99
WONHOX,36.99,4.6,8984
DWQOO,21.49,4.8,213
YOYEE,6.55,4.7,59
soonjet,19.99,4.8,27
PYS,24.79,4.3,1039
LOVEVOOK,31.99,5,7
BJSK,5.99,4.6,76
RACAHOO,15.99,5,2
LOVEVOOK,40.96,4.9,24
EooCoo,14.1,4.5,314
LUKCOZMO,18.99,4.3,42
